conversation_id,utterance_id,speaker,history,utterance,emotion,visual,audio,Sr No.,Season,Episode,StartTime,EndTime,image,audio_path
1,7,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!
Joey: Push 'em out, push 'em out, harder, harder.
Joey: Push 'em out, push 'em out, way out!
Joey: Let's get that ball and really move, hey, hey, ho, ho.
Joey: Let's I was justyeah, right.
Joey: Push!",Push!,joy,"'Joey: Determined, slightly open mouth, intense eyes'","Fundamental Frequency: The fundamental frequency throughout this very short audio clip is difficult to assess comprehensively due to its brevity. However, the initial 'Gush' suggests a moderately low pitch, possibly with a slight downward inflection at the end. The pitch contour appears relatively stable within this single utterance.; Loudness / Energy: The loudness and energy in this clip are quite high, particularly on the word 'Gush'. The sound has a strong, percussive quality, indicating a significant burst of vocal energy at the beginning. There are no discernible changes in energy within this brief segment.; Speaking Rate and Pauses: This audio clip is extremely short, containing only a single utterance ('Gush'). Therefore, a speaking rate cannot be meaningfully determined. There are no pauses present within this isolated sound.; Voice Quality Features: The voice quality of 'Gush' sounds somewhat forceful and abrupt. It does not sound particularly breathy or strained. There's a clear, sharp quality to the utterance, with no obvious roughness or hoarseness. Any fluctuations in quality would be imperceptible in such a short segment.",26,1,23,"0:11:01,828","0:11:03,774",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_7/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt7.wav
2,0,Ross,,Okay.,neutral,"I'm unable to interpret the image provided. If you can describe the facial expression of the speaker, I would be happy to help you analyze it!","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this short audio segment. It doesn't exhibit dramatic upward or downward shifts. The overall pitch impression is moderate, neither strikingly high nor low. There are no obvious indications of significant pitch variability that would suggest an overtly expressive or monotonous delivery within this brief clip.; Loudness / Energy: The loudness and energy level seem consistent and moderate. The voice doesn't sound particularly soft or forcefully loud. There are no pronounced swells or dips in energy, indicating a relatively steady vocal projection. The overall impression is one of balanced vocal effort without significant dynamic variation.; Speaking Rate and Pauses: The speaking rate in this very short segment is difficult to definitively assess. However, the delivery feels moderately paced, with clear enunciation. There are no noticeable pauses within this snippet, suggesting a continuous flow of speech. If this were representative of longer speech, it might indicate a smooth and coherent delivery.; Voice Quality Features: The voice quality appears generally clear and smooth. There are no strong indications of breathiness, strain, or hoarseness. The vocal production seems efficient, without audible roughness or tightness. The perceived quality suggests a healthy and well-supported voice for this brief utterance.",27,5,16,"00:07:26,446","00:07:27,487",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt0.wav
2,1,Rachel,Ross: Okay.,"Ross, didn't you say that there was an elevator in here?",neutral,"'Ross: Downturned mouth, furrowed brow, eyes looking downward'","Fundamental Frequency: The fundamental frequency of the speaker appears to be in a moderate range, neither exceptionally high nor low. There is some natural fluctuation in pitch, suggesting a conversational tone rather than a monotone. The pitch contour shows some variation, particularly towards the end of the phrase where there might be a slight rise, indicating a question or a trailing thought. Overall, pitch is used expressively but not dramatically.; Loudness / Energy: The loudness and energy level are relatively consistent and moderate, suggesting a comfortable conversational volume. There are no drastic shifts in intensity. The speech sounds clear and well-articulated, with a stable energy output throughout the short utterance. There's a sense of balanced vocal dynamics.; Speaking Rate and Pauses: The speaking rate is moderate, with clear enunciation. There is a slight pause before the word 'elevator', which serves to emphasize it or perhaps as a moment of recall. The pacing feels natural and unhurried, contributing to a smooth and comprehensible delivery.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, or hoarseness. The vocal production seems efficient, suggesting a healthy voice without noticeable roughness or tightness. The overall impression is of a natural and pleasant speaking voice.",28,5,16,"00:07:27,655","00:07:30,574",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt1.wav
2,2,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?","Uhh, yes I did but there isn't. Okay, here we go.",sadness,"'Ross: Neutral expression, slightly parted lips, focused gaze'","❌ 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}",29,5,16,"00:07:30,741","00:07:34,119",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt2.wav
2,3,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.","Okay, go left. Left! Left!",surprise,"'Rachel: Tired expression, eyes closed, slightly furrowed brow.'","❌ 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}",30,5,16,"00:07:35,413","00:07:37,205",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_3/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt3.wav
2,4,Rachel,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!","Okay, y'know what? There is no more left, left!",anger,"'Rachel: Sad, furrowed brow, slightly downturned mouth'","Fundamental Frequency: The fundamental frequency appears to be within a moderate to slightly high range, exhibiting a generally stable contour with some minor fluctuations. There are no dramatic shifts, suggesting a consistent but not monotonous pitch usage. Overall, the pitch contributes to a clear and alert vocal delivery.; Loudness / Energy: The loudness and energy levels are moderate and consistent throughout the short excerpt. The voice sounds neither particularly strong nor soft, maintaining a steady presence. There are no significant variations in emphasis or intensity, indicating a controlled and even vocal delivery without pronounced dynamics.; Speaking Rate and Pauses: The speaking rate is moderate to slightly fast, with a smooth and rhythmic delivery. The phrase ""there's no more left"" is spoken without any noticeable pauses within it, contributing to a sense of directness. The brief pause after ""left"" serves to punctuate the statement, aiding in clarity.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no prominent indications of breathiness, strain, or hoarseness. The vocal production appears controlled, suggesting a healthy and well-supported voice with minimal perceptual irregularities.",31,5,16,"00:07:39,709","00:07:43,128",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_4/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt4.wav
2,5,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!","Oh okay, lift it straight up over your head!",anger,"'Ross: Intense gaze, slightly furrowed brow, mouth slightly open as if mid-sentence'","Fundamental Frequency: The fundamental frequency appears to be in a moderate range, not excessively high or low. There are some subtle fluctuations, suggesting a natural, conversational intonation rather than a rigidly monotone delivery. The pitch contour seems to rise slightly towards the end of the phrase, which is a common intonational pattern for a statement or a question seeking confirmation.; Loudness / Energy: The loudness and energy level are consistent and at a moderate to strong level, indicating clear articulation without being overpowering. There aren't any dramatic shifts in energy, suggesting a steady and controlled vocal delivery. The speaker's voice sounds robust and present.; Speaking Rate and Pauses: The speaking rate is moderate and appears to be delivered smoothly. There is a very brief pause, almost imperceptible, between ""okay"" and ""you're"", and another slight pause after ""lift"". These pauses are natural and do not disrupt the flow of speech; they serve to punctuate the phrases effectively.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of strain, hoarseness, or excessive breathiness. The articulation is crisp, suggesting good vocal cord closure and control.",32,5,16,"00:07:43,963","00:07:46,047",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_5/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt5.wav
2,6,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!
Ross: Oh okay, lift it straight up over your head!",Straight up over your head!,anger,"'Ross: Puffed cheeks, wide open eyes, neutral mouth'","Fundamental Frequency: The fundamental frequency of the speech is generally within a moderate to slightly high range, suggesting a clear and relatively youthful or energetic vocal quality. The pitch contour shows some natural variation, indicating expressive intonation rather than a monotone delivery. There are no abrupt or extreme shifts, but rather a smooth, conversational rise and fall in pitch that follows the natural rhythm of the spoken words. Overall, the pitch use is typical for clear, emphatic speech.; Loudness / Energy: The loudness and energy levels are consistently strong and clear throughout the utterance. The speaker's voice sounds assertive and well-projected. There are subtle increases in energy on certain words, which contribute to emphasis and clarity. The overall impression is one of confident and clear vocal delivery with good vocal dynamics, making the speech easy to follow.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate pace. The speaker articulates each word distinctly. There are very brief, natural pauses between phrases, which help to segment the information and allow for clarity. These pauses are not disruptive and contribute to a smooth, rhythmic flow of speech, making it easy to understand.; Voice Quality Features: The voice quality is clear and smooth, with no signs of breathiness, strain, or hoarseness. The vocal production appears efficient and well-controlled. There are no noticeable irregularities or roughness in the tone, suggesting a healthy and well-maintained voice. The overall impression is of a clear, resonant, and pleasant vocal quality.",33,5,16,"0:07:46,215","0:07:47,777",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_6/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt6.wav
2,7,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!
Ross: Oh okay, lift it straight up over your head!
Ross: Straight up over your head!",You can do it!,joy,"'Ross: Determined expression, raised eyebrow, focused gaze'","❌ 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}",34,5,16,"0:07:47,777","0:07:48,648",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_7/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt7.wav
2,8,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!
Ross: Oh okay, lift it straight up over your head!
Ross: Straight up over your head!
Ross: You can do it!",You can do it!,joy,"'Ross: Strained, focused eyes, mouth slightly open, showing effort'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly low range, suggesting a generally grounded and stable pitch. There aren't any drastic fluctuations or sudden jumps in pitch, indicating a relatively consistent intonation. The pitch contour seems relatively flat with subtle rises and falls that likely convey basic intonation for statement clarity rather than strong emotional expression. Overall, the pitch usage is functional and stable.; Loudness / Energy: The loudness and energy level seem to be consistently moderate. The voice doesn't sound particularly loud or soft, maintaining a steady presence. There aren't any significant shifts in intensity that would suggest strong emphasis on particular words or phrases. The overall impression is one of consistent vocal energy, lacking strong dynamic variation.; Speaking Rate and Pauses: The speaking rate appears to be moderate. The speaker is enunciating clearly, and the words are flowing at a steady pace. There are minimal pauses, and those present are brief, likely serving as natural breath points or slight hesitations rather than intentional breaks for emphasis. The rhythm is smooth and consistent, contributing to an overall easy-to-follow delivery.; Voice Quality Features: The voice quality sounds clear and smooth. There are no apparent signs of hoarseness, strain, or roughness. The vocal production seems effortless, without any noticeable breathiness or tightness. The tone is consistent and pleasant, suggesting good vocal control and health.",35,5,16,"00:07:48,759","00:07:50,010",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_8/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt8.wav
2,9,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!
Ross: Oh okay, lift it straight up over your head!
Ross: Straight up over your head!
Ross: You can do it!
Ross: You can do it!",Okay.,neutral,"'Rachel: Soft, closed eyes, relaxed mouth, conveying vulnerability'","Fundamental Frequency: The fundamental frequency is relatively stable throughout this short utterance, with a slight upward inflection at the end, possibly indicating a question or a rising intonation pattern. The overall pitch seems to be in a moderate range, not particularly high or low. The limited duration makes it difficult to assess significant pitch fluctuations or complex contour usage.; Loudness / Energy: The loudness is moderate and consistent for the duration of the audio. There's a slight increase in energy towards the beginning of 'Okay' and a gentle decrease at the end of the utterance. The overall impression is of a soft but clear vocal delivery, with no extreme shifts in intensity.; Speaking Rate and Pauses: The speaking rate is very fast, characterized by the single word utterance 'Okay' followed immediately by a short sound. There are no discernible pauses within this brief segment. The delivery is abrupt and direct.; Voice Quality Features: The voice quality sounds clear and somewhat tense or tight, particularly on the initial 'Okay'. There are no immediately apparent signs of breathiness, hoarseness, or roughness. The sound is relatively smooth, though the clipped nature of the utterance might contribute to a less relaxed vocal quality.",36,5,16,"0:07:50,178","0:07:51,150",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_9/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt9.wav
2,10,Ross,"Ross: Okay.
Rachel: Ross, didn't you say that there was an elevator in here?
Ross: Uhh, yes I did but there isn't. Okay, here we go.
Ross: Okay, go left. Left! Left!
Rachel: Okay, y'know what? There is no more left, left!
Ross: Oh okay, lift it straight up over your head!
Ross: Straight up over your head!
Ross: You can do it!
Ross: You can do it!
Ross: Okay.",You got it?,neutral,"'Rachel: Slightly raised eyebrows, neutral mouth, attentive eyes'","{ ""Fundamental Frequency: "": ""The fundamental frequency appears to be in a moderate range, not excessively high or low. There are some minor fluctuations, suggesting a natural conversational tone rather than a monotone. The pitch contour seems relatively stable with no dramatic shifts, indicating a generally steady delivery. Overall, pitch is used in a typical, non-expressive manner."", ""Loudness / Energy: "": ""The loudness and energy level are consistent and moderate, suggesting a comfortable listening volume. There are no extreme variations in intensity, but subtle shifts might indicate points of emphasis, though they are not pronounced. The overall vocal dynamics are fairly even, with a smooth progression of energy."", ""Speaking Rate and Pauses: "": ""The speaking rate is moderate, neither rushed nor overly deliberate. The delivery is reasonably smooth, with short, natural pauses that contribute to the flow of speech without causing noticeable interruptions. The pauses seem to serve as typical breath points or for slight emphasis, maintaining a balanced pacing."", ""Voice Quality Features: "": ""The voice quality sounds generally clear and smooth. There are no strong indications of breathiness, strain, or hoarseness. Minor irregularities might be present but do not significantly detract from the overall pleasant and natural quality of the voice. It sounds like a typical, healthy speaking voice."" } }",37,5,16,"0:07:51,150","0:07:52,227",/kaggle/input/video-frames-v1/preprocessed_frames/test/2_10/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia2_utt10.wav
